county_desc,race_code,DEM,GRE,LIB,NLB,REP,UNA
ALAMANCE,A,111.0,0.0,1.0,0.0,90.0,165.0
ALAMANCE,B,5870.0,1.0,20.0,4.0,165.0,1577.0
ALAMANCE,I,25.0,0.0,1.0,0.0,23.0,37.0
ALAMANCE,M,118.0,0.0,3.0,0.0,36.0,103.0
ALAMANCE,O,511.0,1.0,9.0,1.0,203.0,792.0
ALAMANCE,P,1.0,0.0,0.0,0.0,0.0,1.0
ALAMANCE,U,1083.0,0.0,34.0,2.0,546.0,1307.0
ALAMANCE,W,4412.0,6.0,142.0,8.0,11238.0,8333.0
ALEXANDER,A,8.0,0.0,0.0,0.0,14.0,35.0
ALEXANDER,B,220.0,0.0,0.0,1.0,5.0,77.0
ALEXANDER,I,1.0,0.0,0.0,0.0,5.0,3.0
ALEXANDER,M,4.0,0.0,0.0,0.0,4.0,3.0
ALEXANDER,O,27.0,0.0,2.0,1.0,24.0,58.0
ALEXANDER,P,0.0,0.0,0.0,0.0,0.0,1.0
ALEXANDER,U,59.0,0.0,2.0,0.0,176.0,249.0
ALEXANDER,W,889.0,0.0,34.0,5.0,4094.0,2249.0
ALLEGHANY,A,0.0,0.0,0.0,0.0,1.0,1.0
ALLEGHANY,B,25.0,0.0,0.0,1.0,0.0,13.0
ALLEGHANY,I,0.0,0.0,0.0,0.0,2.0,0.0
ALLEGHANY,M,0.0,0.0,0.0,0.0,2.0,2.0
ALLEGHANY,O,7.0,0.0,0.0,1.0,10.0,29.0
ALLEGHANY,U,32.0,0.0,2.0,0.0,56.0,89.0
ALLEGHANY,W,791.0,0.0,15.0,2.0,986.0,768.0
ANSON,A,11.0,0.0,1.0,0.0,11.0,20.0
ANSON,B,1905.0,1.0,1.0,0.0,64.0,281.0
ANSON,I,3.0,0.0,0.0,0.0,3.0,9.0
ANSON,M,6.0,0.0,0.0,0.0,0.0,4.0
ANSON,O,32.0,0.0,1.0,1.0,9.0,44.0
ANSON,U,381.0,0.0,2.0,0.0,160.0,214.0
ANSON,W,673.0,0.0,13.0,1.0,872.0,897.0
ASHE,A,5.0,0.0,0.0,0.0,3.0,7.0
ASHE,B,27.0,0.0,1.0,0.0,4.0,16.0
ASHE,I,3.0,0.0,0.0,0.0,1.0,5.0
ASHE,M,2.0,1.0,0.0,0.0,3.0,0.0
ASHE,O,10.0,0.0,1.0,1.0,20.0,35.0
ASHE,U,62.0,0.0,5.0,0.0,158.0,235.0
ASHE,W,1581.0,0.0,37.0,5.0,3567.0,2154.0
AVERY,A,0.0,0.0,0.0,0.0,2.0,6.0
AVERY,B,8.0,0.0,1.0,0.0,5.0,12.0
AVERY,I,2.0,0.0,0.0,0.0,4.0,3.0
AVERY,M,2.0,0.0,1.0,0.0,0.0,5.0
